ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
resHWaterElec,Peninsular,PJ/y,219,164.25,123.1875,92.390625,0.1,0.1,0.1,0.1
resBoilerElectric,Peninsular,PJ/y,241,180.75,135.5625,101.671875,0.1,0.1,0.1,0.1
resLightingEnergySaving,Peninsular,PJ/y,343,257.25,192.9375,144.703125,0.1,0.1,0.1,0.1
resCookingElec,Peninsular,PJ/y,574,430.5,322.875,242.15625,0.1,0.1,0.1,0.1
resLightingLED,Peninsular,PJ/y,581,435.75,326.8125,245.109375,0.1,0.1,0.1,0.1
resAppliancesCon,Peninsular,PJ/y,692,519,389.25,291.9375,0.1,0.1,0.1,0.1
resAC,Peninsular,PJ/y,761,570.75,428.0625,321.046875,0.1,0.1,0.1,0.1
resASHeatPump,Western,PJ/y,0,0,0,0,0,0,0,0
resASHeatPump_solarT,Western,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass,Western,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass_solarT,Western,PJ/y,0,0,0,0,0,0,0,0
resBoilerElectriciy_solarT,Western,PJ/y,0,0,0,0,0,0,0,0
resBoilerNG,Western,PJ/y,0,0,0,0,0,0,0,0
resBoilerNG_solarT,Western,PJ/y,0,0,0,0,0,0,0,0
resCHPBiomass,Western,PJ/y,0,0,0,0,0,0,0,0
resCHPNG,Western,PJ/y,0,0,0,0,0,0,0,0
resCookingBiomass,Western,PJ/y,0,0,0,0,0,0,0,0
resCookingCoal,Western,PJ/y,0,0,0,0,0,0,0,0
resCookingKerosene,Western,PJ/y,0,0,0,0,0,0,0,0
resCookingNG,Western,PJ/y,0,0,0,0,0,0,0,0
resDHBiomass,Western,PJ/y,0,0,0,0,0,0,0,0
resDHHeatPump,Western,PJ/y,0,0,0,0,0,0,0,0
resDHNG,Western,PJ/y,0,0,0,0,0,0,0,0
resDHSolarWater,Western,PJ/y,0,0,0,0,0,0,0,0
resDHThermalStorage,Western,PJ/y,0,0,0,0,0,0,0,0
resDHWasteHeatOfftake,Western,PJ/y,0,0,0,0,0,0,0,0
resElectricNightStorage,Western,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA,Western,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA_storage,Western,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump,Western,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump_solarT,Western,PJ/y,0,0,0,0,0,0,0,0
resHWaterBiomass,Western,PJ/y,0,0,0,0,0,0,0,0
resHWaterNG,Western,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPBiomass,Western,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPNG,Western,PJ/y,0,0,0,0,0,0,0,0
resNGSA,Western,PJ/y,0,0,0,0,0,0,0,0
resAppliancesAdv,Western,PJ/y,0,0,0,0,0,0,0,0
resLightingCon,Western,PJ/y,261,195.75,146.8125,110.109375,0.1,0.1,0.1,0.1
resHWaterElec,Western,PJ/y,684,513,384.75,288.5625,0.1,0.1,0.1,0.1
resBoilerElectric,Western,PJ/y,1261,945.75,709.3125,531.984375,0.1,0.1,0.1,0.1
resLightingEnergySaving,Western,PJ/y,1389,1041.75,781.3125,585.984375,0.1,0.1,0.1,0.1
resCookingElec,Western,PJ/y,3310,2482.5,1861.875,1396.40625,0.1,0.1,0.1,0.1
resLightingLED,Western,PJ/y,3352,2514,1885.5,1414.125,0.1,0.1,0.1,0.1
resAppliancesCon,Western,PJ/y,3994,2995.5,2246.625,1684.96875,0.1,0.1,0.1,0.1
resAC,Western,PJ/y,4388,3291,2468.25,1851.1875,0.1,0.1,0.1,0.1
